Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","4.7uF","C_0805_2012Metric",98.7790,-42.1640,180.0000,top
"C2","1uF","C_0805_2012Metric",98.8060,-44.1960,180.0000,top
"C3","1uF","C_0805_2012Metric",106.2736,-38.8620,0.0000,top
"C4","4.7n","C_1206_3216Metric",112.2934,-29.2608,90.0000,top
"D1","1N5819","D_SOD-323_HandSoldering",106.4260,-42.1640,180.0000,top
"D2","SR05","SOT-143",104.5210,-32.0548,180.0000,top
"D3","POWERLED","D_0805_2012Metric",96.0120,-38.8620,90.0000,top
"D4","LED_Small","D_0805_2012Metric",95.2754,-72.8495,90.0000,top
"D5","D_Small","D_SOD-123",116.8400,-47.2440,90.0000,bottom
"D6","D_Small","D_SOD-123",135.8900,-42.4180,90.0000,bottom
"D7","D_Small","D_SOD-123",154.8140,-37.7200,90.0000,bottom
"D8","D_Small","D_SOD-123",173.9900,-42.4180,90.0000,bottom
"D9","D_Small","D_SOD-123",193.0400,-56.3880,90.0000,bottom
"D10","D_Small","D_SOD-123",211.8868,-56.3880,90.0000,bottom
"D11","D_Small","D_SOD-123",116.8400,-66.5480,90.0000,bottom
"D12","D_Small","D_SOD-123",135.8900,-61.5960,90.0000,bottom
"D13","D_Small","D_SOD-123",154.9400,-56.7700,90.0000,bottom
"D14","D_Small","D_SOD-123",173.8640,-61.3420,90.0000,bottom
"D15","D_Small","D_SOD-123",192.7860,-75.8200,90.0000,bottom
"D16","D_Small","D_SOD-123",212.0900,-75.8200,90.0000,bottom
"D17","D_Small","D_SOD-123",116.8400,-85.5980,90.0000,bottom
"D18","D_Small","D_SOD-123",135.8900,-80.6460,90.0000,bottom
"D19","D_Small","D_SOD-123",154.9400,-76.0740,90.0000,bottom
"D20","D_Small","D_SOD-123",173.9900,-80.7720,90.0000,bottom
"D21","D_Small","D_SOD-123",193.0400,-94.8700,90.0000,bottom
"D22","D_Small","D_SOD-123",212.0900,-94.8700,90.0000,bottom
"D23","D_Small","D_SOD-123",116.8400,-104.3940,90.0000,bottom
"D24","D_Small","D_SOD-123",135.8900,-99.5680,90.0000,bottom
"D25","D_Small","D_SOD-123",154.9400,-94.9960,90.0000,bottom
"D26","D_Small","D_SOD-123",173.9900,-99.3648,90.0000,bottom
"D27","D_Small","D_SOD-123",193.0400,-113.9200,90.0000,bottom
"D28","D_Small","D_SOD-123",211.8360,-114.3000,90.0000,bottom
"D29","D_Small","D_SOD-123",93.0402,-111.1504,90.0000,bottom
"D30","D_Small","D_SOD-123",110.9980,-114.0460,180.0000,bottom
"D31","D_Small","D_SOD-123",135.8900,-118.6180,90.0000,bottom
"D32","D_Small","D_SOD-123",90.7796,-111.1504,90.0000,bottom
"D33","D_Small","D_SOD-123",173.9900,-118.7440,90.0000,bottom
"D34","D_Small","D_SOD-123",154.9400,-114.0460,90.0000,bottom
"F1","500ma","Fuse_1206_3216Metric",99.9460,-33.7820,0.0000,top
"J2","USB_C_Receptacle_USB2.0","USB-C_C168688",104.5210,-21.8694,0.0000,top
"Q1","AO3401A","SOT-23",102.6160,-39.1160,180.0000,top
"R1","5.1k","R_0805_2012Metric",108.4815,-31.3436,180.0000,top
"R2","10k","R_0805_2012Metric",98.7275,-36.0680,0.0000,top
"R3","10k","R_0805_2012Metric",93.9800,-38.8620,90.0000,top
"R4","1k","R_0805_2012Metric",95.2500,-36.0680,180.0000,top
"R5","5.1k","R_0805_2012Metric",100.6113,-31.3436,0.0000,top
"R6","1M","R_0805_2012Metric",97.1296,-29.1361,90.0000,top
"R7","806k","R_0805_2012Metric",102.1865,-42.1640,180.0000,top
"R8","2M","R_0805_2012Metric",102.2835,-44.1960,0.0000,top
"R9","1k","R_0805_2012Metric",93.2434,-72.8726,90.0000,top
"U1","AP2112K-3.3","SOT-23-5",108.4580,-46.4820,180.0000,top
"U2","TP4054","SOT-23-5",98.8060,-39.1160,90.0000,top
